db,sn,Abstract
W,51,"Purpose - The purpose of this paper is to assess the practice of income smoothing in the Gulf Cooperation Council (GCC) emerging markets; Saudi Arabia, Kuwait, United Arab Emirates, Oman and Qatar. Then, to examine the impact of income smoothing on the earnings quality to decide whether income smoothing can serve as either a tool to enhance earnings quality or a tool for opportunistic behavior. Audit quality and corporate governance as additional factors are considered in this study. Design/methodology/approach - The study methodology measures income smoothing behavior based on the coefficient of variation method. Earnings quality is measured as an outcome of the explained variations in stock returns by earnings based on the efficient market hypothesis. Audit quality is measured based on brand as higher quality assigned to auditor from any of the Big 4, while the corporate governance is addressed based on the extent of governmental ownership. The initial study sample comprises 55 companies over a ten year period, from 1999 to 2008; the final sample represents approximately 64 percent of the industrial sector that have public data during the study. Findings - The results suggest that income smoothing behavior in the GCC markets has many variations in practice. Income smoothing, on average, improves earnings quality in three countries out of four, but not significantly for the whole sample based on earnings level. The earnings changes model demonstrated a positive and significant impact of income smoothing on earnings quality. Audit quality and earnings quality have a positive relationship within the region, and companies dominated by the government perform well in accordance with the earnings-return model. Research limitations/implications - The study is limited to the industrial sector of the GCC. Practical implications - The study opens the door to future applications to other sectors within the GCC, same sectors and other sectors for Middle East countries and other emerging markets. Social implications - The study may foster a better understanding of accounting practices in the GCC and Middle East. The study reveals variations in different aspects among GCC countries, this matter should be considered in separate studies across different areas. Originality/value - The study makes an original contribution to being the first to explore this topic in the GCC. Additionally, this study shows that the GCC markets have different characteristics in the practice and impact of income smoothing on earnings' quality. Further, audit quality and corporate governance was investigated for each country and for the region, in addition to the interaction between these factors with the income smoothing and earnings quality."
W,52,"Black box AI systems for automated decision making, often based on machine learning over (big) data, map a user's features into a class or a score without exposing the reasons why. This is problematic not only for lack of transparency, but also for possible biases inherited by the algorithms from human prejudices and collection artifacts hidden in the training data, which may lead to unfair or wrong decisions. We focus on the urgent open challenge of how to construct meaningful explanations of opaque AI/ML systems, introducing the local-toglobal framework for black box explanation, articulated along three lines: (i) the language for expressing explanations in terms of logic rules, with statistical and causal interpretation; (ii) the inference of local explanations for revealing the decision rationale for a specific case, by auditing the black box in the vicinity of the target instance; (iii), the bottom-up generalization of many local explanations into simple global ones, with algorithms that optimize for quality and comprehensibility. We argue that the local-first approach opens the door to a wide variety of alternative solutions along different dimensions: a variety of data sources (relational, text, images, etc.), a variety of learning problems (multi-label classification, regression, scoring, ranking), a variety of languages for expressing meaningful explanations, a variety of means to audit a black box."
W,53,"Social networks, smartphones, mobile applications... produce an avalanche of data on a large-scale and in an unstructured way. The phenomenon Big Data was born in order to address the different challenges including data storing, data analysis, data querying and so on. Technological advances always carry new security vulnerabilities that are not taken into consideration at the beginning. Security aspects usually require time to be addressed. The information system security is the set of measures to prevent any failure or threat including unauthorized accesses. Perfect protection must contain the four basic building blocks that are: authentication, access control, auditing, and encryption. In our work, we are specifically interested in access control. We first analyze the well-known access control models that were applied to Big Data. We then investigate the most important security projects. Most of these approaches and projects rely mainly on coarse-grained access control policies. In this work, we propose a novel approach called H-RCBAC that relies on two known models: the role-based access control (RBAC) and the content-based access control (CBAC). H-RCBAC is a new architecture that refines the access control process by considering a set of taboo words to guarantee fine-grained access control."
W,54,"Large-scale P2P applications (e.g., social networking, online gaming, video streaming) that host millions of users increasingly rely upon semi-structured super-P2P systems to provide efficient services in dynamic environments. Given the critical role of 'super peers' in such topologies, attackers target super peers due to the resultant high damage on P2P services. In this paper, we consider the prominent class of Outgoing Eclipse Attacks (OEA) where an attacker aims to block the communication by controlling all the outgoing connections of honest super peers. Our interest on OEA stems from the fact that our simulation studies reveal that OEAs can cause up to 90% of all service requests to fail. Our attack mitigation relies upon a novel (a) monitoring and (b) malicious peer eviction scheme based on a composite proactive and reactive mechanism. Our proactive mechanism enforces an upper bound on the number of connections an attacker can establish, whereas our reactive mechanism expels malicious peers from the overlay using a distributed consensus protocol. We show that our protection mechanism is highly effective and exhibits a low false-positive rate. Our extensive simulation study validates the analytical results over a large range of parameters with observed detection accuracies of 99% and throughput enhancements of up to 100% while entailing an overhead of less than 5%."
W,55,"An electronic toll collection (ETC) system is one of the most important parts of an intelligent transportation system (ITS), but existing ETC systems are not efficient and have vehicle fee evasion complications. Owing to the traceability and tamper resistance of a blockchain, the combination of a blockchain and ETC system is a feasible way to solve the above problems. However, traditional blockchain (e.g., Bitcoin and Ethereum) has high power consumption and low efficiency. Hence, it cannot be used in ETC systems with high throughput and is not suitable for power-constrained Internet of Things (IoT) devices. In this study, therefore, we propose a blockchain architecture for the ETC system. To curb vehicle fee evasion behavior, thereby reducing the economic loss caused, we propose a vehicle behavior management mechanism based on credit value. Furthermore, to reduce the burden of storage and build a chain of evidence for auditing purposes, we propose an evidence chain framework. To protect the data security in the transaction process, we designed a data protection method to encrypt the transaction data. Additionally, this system is based on an open-source alliance blockchain framework called Hyperledger Fabric, which is more in line with the current application scenarios of ETC systems. We implemented the system on a Raspberry Pi and carried out simulations. The comprehensive evaluation results and analysis show that the system effectively reduces the number of illegal acts, completes the evidence inspection, and improves the security of the data."
W,56,"Background Street imagery is a promising and growing big data source providing current and historical images in more than 100 countries. Studies have reported using this data to audit road infrastructure and other built environment features. Here we explore a novel application, using Google Street View (GSV) to predict travel patterns at the city level. Methods We sampled 34 cities in Great Britain. In each city, we accessed 2000 GSV images from 1000 random locations. We selected archived images from time periods overlapping with the 2011 Census and the 2011-2013 Active People Survey (APS). We manually annotated the images into seven categories of road users. We developed regression models with the counts of images of road users as predictors. The outcomes included Census-reported commute shares of four modes (combined walking plus public transport, cycling, motorcycle, and car), as well as APS-reported past-month participation in walking and cycling. Results We found high correlations between GSV counts of cyclists ('GSV-cyclists') and cycle commute mode share (r = 0.92)/past-month cycling (r = 0.90). Likewise, GSV-pedestrians was moderately correlated with past-month walking for transport (r = 0.46), GSV-motorcycles was moderately correlated with commute share of motorcycles (r = 0.44), and GSV-buses was highly correlated with commute share of walking plus public transport (r = 0.81). GSV-car was not correlated with car commute mode share (r = -0.12). However, in multivariable regression models, all outcomes were predicted well, except past-month walking. The prediction performance was measured using cross-validation analyses. GSV-buses and GSV-cyclists are the strongest predictors for most outcomes. Conclusions GSV images are a promising new big data source to predict urban mobility patterns. Predictive power was the greatest for those modes that varied the most (cycle and bus). With its ability to identify mode of travel and capture street activity often excluded in routinely carried out surveys, GSV has the potential to be complementary to new and traditional data. With half the world's population covered by street imagery, and with up to 10 years historical data available in GSV, further testing across multiple settings is warranted both for cross-sectional and longitudinal assessments."
W,57,"The whole world is facing the urgent issue of balancing economic development and ecological conservation. The fulfillment of the solution requires green innovation at the regional level. However, the heterogeneity of green innovation is obvious in different regions. To explore ways at effectively improving the level of regional green innovation in China, the research develops decomposition analysis based on the Logarithmic Mean Divisia Index (LMDI) model to identify the driving factors of green innovation. We also take the Geographical and Temporal Weighted Regression (GTWR) model to explore the driving factors of spatial-temporal heterogeneity of green innovation in China. The main results are as follows. Research and development (R&D) efficiency play a dominant role for increasing regional green patent applications, while environmental regulation contributes the most to a decline of regional green patent applications during 2003-2017. Various determinants of green patent applications exhibit spatial-temporal heterogeneity, such as the coefficients of influencing factors for each province in 2017 being more significant than the same coefficients in 2003. Beijing's coefficient of R&D efficiency is the largest, while the coefficient of economic development for Shanxi is the largest. The findings herein provide detailed insight for China's policymakers to effectively improve the level of regional green innovation domestically, which is of constructive significance to narrow the gap of regional green innovation and realize the coordinated and sustainable development of economy. (C) 2020 Elsevier Ltd. All rights reserved."
W,58,"Artificial general intelligence (AGI) progression metrics indicate AGI will occur within decades. No proof exists that AGI will benefit humans and not harm or eliminate humans. A set of logically distinct conceptual components is proposed that are necessary and sufficient to (1) ensure various AGI scenarios will not harm humanity, and (2) robustly align AGI and human values and goals. By systematically addressing pathways to malevolent AI we can induce the methods/axioms required to redress them. Distributed ledger technology (DLT, blockchain) is integral to this proposal, e.g., smart contracts are necessary to address the evolution of AI that will be too fast for human monitoring and intervention. The proposed axioms: (1) Access to technology by market license. (2) Transparent ethics embodied in DLT. (3) Morality encrypted via DLT. (4) Behavior control structure with values at roots. (5) Individual bar-code identification of critical components. (6) Configuration Item (from business continuity/disaster recovery planning). (7) Identity verification secured via DLT. (8) Smart automated contracts based on DLT. (9) Decentralized applications-AI software modules encrypted via DLT. (10) Audit trail of component usage stored via DLT. (11) Social ostracism (denial of resources) augmented by DLT petitions. (12) Game theory and mechanism design."
W,59,"Purpose The purpose of this paper is to better understand management accounting automation by exploring the programmability of management accounting work. Design/methodology/approach We build upon the literature on digitalization in management accounting and draw upon the pragmatic constructivist methodology to understand how digitalization takes place at the individual actors' level in accounting practice. The paper uses a data set from an interventionist case study of a machinery manufacturer. Findings We examine an actual process of automating management accounting tasks. During this development process, surprisingly, calculation tasks remained more fit for humans than machines though, initially, they were thought to be programmable. Research limitations/implications According to our findings, practitioners may interpret experts' nonprogrammable work tasks as programmable and seek to automate them. Only identifying the factual possibilities for automating accounting-related work can lead to automation-improved efficiency. Our findings can be increasingly relevant for advanced analytics initiatives and applications within management accounting (e.g. robotic process automation, big data, machine learning and artificial intelligence). Practical implications Practitioners need to carefully analyze the entity they wish to automate and understand the factual possibilities of using and maintaining the planned automatic system throughout its life cycle. Originality/value The paper shows that when processes are assessed from a distance, the nonprogrammable management accounting tasks and expertise can become misinterpreted as programmable, and the goal of automating them has little chance of success. It also shows possibilities for human accountants to remain relevant in comparison to machines and paves the way for further studies on advanced decision technologies in management accounting."
W,60,"Vulnerability detection is imperative to protect software systems from cyber attacks. However, existing methods either rely on experts to directly define vulnerability patterns or define vulnerability features and then use machine learning methods to generate vulnerability patterns automatically. It is not only a laborious task but will miss many vulnerabilities and incur a high false-positive rate. Besides, a large number of resources are required to audit the precise location of the vulnerability. To solve the problems, we propose AVDHRAM, a systematic Automated Vulnerability Detection framework based on Hierarchical Representation and Attention Mechanism. We use a deep learning network, Hierarchical Attention Network(HAN), to relieve human experts from the tedious task of manually defining features. The framework adds structural information in the process of source code representation using a finer granularity(slice), instead of function, file, or component. It can better represent vulnerabilities and learn more subtle vulnerability patterns to improve detection accuracy. Additionally, we use the attention mechanism to implement a convenient visualization tool, which can highlight the parts that have the most significant impact on the classification decision and speed up the process of vulnerability location analysis. Experimental results show that AVDHRAM outperforms the previous neural networks and other vulnerability detection methods in several metrics."
W,61,"Many important decisions historically made by people are now made by computers. Algorithms count votes, approve loan and credit card applications, target citizens or neighborhoods for police scrutiny, select taxpayers for IRS audit, grant or deny immigration visas, and more. The accountability mechanisms and legal standards that govern such decision processes have not kept pace with technology. The tools currently available to policymakers, legislators, and courts were developed to oversee human decisionmakers and often fail when applied to computers instead. For example, how do you judge the intent of a piece of software? Because automated decision systems can return potentially incorrect, unjustified, or unfair results, additional approaches are needed to make such systems accountable and governable. This Article reveals a new technological toolkit to verify that automated decisions comply with key standards of legal fairness. We challenge the dominant position in the legal literature that transparency will solve these problems. Disclosure of source code is often neither necessary (because of alternative techniques from computer science) nor sufficient (because of the issues analyzing code) to demonstrate the fairness of a process. Furthermore, transparency may be undesirable, such as when it discloses private information or permits tax cheats or terrorists to game the systems determining audits or security screening. The central issue is how to assure the interests of citizens, and society as a whole, in making these processes more accountable. This Article argues that technology is creating new opportunities-subtler and more flexible than total transparency-to design decisionmaking algorithms so that they better align with legal and policy objectives. Doing so will improve not only the current governance of automated decisions, but also-in certain cases-the governance of decisionmaking in general. The implicit (or explicit) biases of human decisionmakers can be difficult to find and root out, but we can peer into the brain of an algorithm: computational processes and purpose specifications can be declared prior to use and verified afterward. The technological tools introduced in this Article apply widely. They can be used in designing decisionmaking processes from both the private and public sectors, and they can be tailored to verify different characteristics as desired by decisionmakers, regulators, or the public. By forcing a more careful consideration of the effects of decision rules, they also engender policy discussions and closer looks at legal standards. As such, these tools have far-reaching implications throughout law and society. Part I of this Article provides an accessible and concise introduction to foundational computer science techniques that can be used to verify and demonstrate compliance with key standards of legal fairness for automated decisions without revealing key attributes of the decisions or the processes by which the decisions were reached. Part II then describes how these techniques can assure that decisions are made with the key governance attribute of procedural regularity, meaning that decisions are made under an announced set of rules consistently applied in each case. We demonstrate how this approach could be used to redesign and resolve issues with the State Department's diversity visa lottery. In Part III, we go further and explore how other computational techniques can assure that automated decisions preserve fidelity to substantive legal and policy choices. We show how these tools may be used to assure that certain kinds of unjust discrimination are avoided and that automated decision processes behave in ways that comport with the social or legal standards that govern the decision. We also show how automated decisionmaking may even complicate existing doctrines of disparate treatment and disparate impact, and we discuss some recent computer science work on detecting and removing discrimination in algorithms, especially in the context of big data and machine learning. And lastly, in Part IV, we propose an agenda to further synergistic collaboration between computer science, law, and policy to advance the design of automated decision processes for accountability."
W,62,"Mobile edge computing for autonomous driving needs to manage heterogeneous resources and process large amounts of data or multi-purpose payload. There needs to be deploying, scheduling and migrating tasks on edge nodes to ensure the reliability of tasks or maximize the utilization of resources. However, applying autonomous learning methods on autonomous driving is exceptionally difficult, due to the complexity of multi-dimensional context and the sensitivity to hyperparameters. In this paper, we propose a learning approach to quality-of-service (QoS) prediction of services via multi-dimensional context, and develop a stable approach for service deployment that requires minimal hyperparameter tuning and a modest number of trials to learn multilayer neural network policies. This approach can automatically trades off exploration against exploitation by automatically tuning hyperparameter based on maximum entropy reinforcement learning. We then demonstrate that this approach achieves state-of-the-art performance on Autoware benchmark environments."
